행정코드,행정동명,상권업종소분류명,상권업종소분류코드,점포수,매출
2611053000,대청동,경양식,I20401,6,59210000
2611053000,대청동,파스타/스테이크,I20402,2,5550000
2611053000,대청동,패밀리레스토랑,I20403,,
2611053000,대청동,기타 서양식 음식점,I20499,,
2611053000,대청동,베트남식 전문,I20501,1,15190000
2611053000,대청동,기타 동남아식 전문,I20599,,
2611053000,대청동,구내식당,I20701,,
2611053000,대청동,뷔페,I20702,,
2611053000,대청동,빵/도넛,I21001,5,27460000
2611053000,대청동,떡/한과,I21002,,
2611053000,대청동,피자,I21003,3,126800000
2611053000,대청동,버거,I21004,3,38500000
2611053000,대청동,토스트/샌드위치/샐러드,I21005,,
2611053000,대청동,치킨,I21006,6,13780000
2611053000,대청동,김밥/만두/분식,I21007,7,38500000
2611053000,대청동,아이스크림/빙수,I21008,,38500000
2611053000,대청동,그 외 기타 간이 음식점,I21099,,
2611053000,대청동,일반 유흥주점,I21101,2,9920000
2611053000,대청동,무도 유흥주점,I21102,,
2611053000,대청동,생맥주 전문,I21103,1,21340000
2611053000,대청동,요리주점,I21104,10,13020000
2611053000,대청동,카페,I21201,21,38500000
2611054500,보수동,백반/한정식,I20101,25,16900000
2611054500,보수동,국/탕/찌개류,I20102,1,14730000
2611054500,보수동,족발/보쌈,I20103,,
2611054500,보수동,전/부침개,I20104,,
2611054500,보수동,국수/칼국수,I20105,3,9500000
2611054500,보수동,냉면/밀면,I20106,1,29730000
2611054500,보수동,돼지고기 구이/찜,I20107,9,30900000
2611054500,보수동,소고기 구이/찜,I20108,1,127120000
2611054500,보수동,곱창 전골/구이,I20109,,
2611054500,보수동,닭/오리 고기 구이/찜,I20110,3,18200000
2611054500,보수동,횟집,I20111,,
2611054500,보수동,해산물 구이/찜,I20112,,
2611054500,보수동,복 요리 전문,I20113,,
2611054500,보수동,기타 한식 음식점,I20199,,
2611054500,보수동,중국집,I20201,4,17100000
2611054500,보수동,마라탕/훠궈,I20202,,
2611054500,보수동,일식 회/초밥,I20301,4,23310000
2611054500,보수동,일식 카레/돈가스/덮밥,I20302,,
2611054500,보수동,일식 면 요리,I20303,1,6270000
2611054500,보수동,기타 일식 음식점,I20399,,
2611054500,보수동,경양식,I20401,3,12840000
2611054500,보수동,파스타/스테이크,I20402,,
2611054500,보수동,패밀리레스토랑,I20403,,
2611054500,보수동,기타 서양식 음식점,I20499,,
2611054500,보수동,베트남식 전문,I20501,,
2611054500,보수동,기타 동남아식 전문,I20599,,
2611054500,보수동,구내식당,I20701,,28380000
2611054500,보수동,뷔페,I20702,,
2611054500,보수동,빵/도넛,I21001,3,25820000
2611054500,보수동,떡/한과,I21002,2,7350000
2611054500,보수동,피자,I21003,4,21810000
